Application_ID,Age,Gender,City,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Risk_Grade,Decision
3000048,41,Male,Hyderabad,Professional,846200,0.5,2,Education,314000,12,1,49300.0,950.0,40.74,37.11,26.0,0,0,0,0,21.0,3,97.82,724,C,Reject
3000049,40,Female,Mumbai,Salaried,693300,8.2,3,Personal,1769000,48,3,326900.0,10590.0,95.0,255.16,11.97,0,3,48,1,9.9,5,86.69,704,C,Reject
3000050,37,Male,Ahmedabad,Professional,622100,6.2,0,Vehicle,349000,24,1,92600.0,2420.0,35.78,56.1,24.93,0,2,13,0,16.2,6,91.73,734,C,Approve
3000051,35,Male,Thane,Salaried,755300,5.5,4,Home,1266000,60,2,190200.0,5050.0,56.03,167.62,17.51,0,2,32,2,12.4,4,94.54,720,C,Reject
3000052,48,Male,Ahmedabad,Salaried,474100,4.2,3,Education,570000,84,1,278600.0,6110.0,39.11,120.23,24.72,0,0,0,3,31.0,3,98.28,784,B,Approve
3000053,39,Female,Gurugram,Professional,474000,6.7,0,Home,132000,36,1,365100.0,13680.0,46.18,27.85,26.48,0,1,7,2,14.8,3,96.29,733,C,Approve
3000054,31,Female,Mumbai,Self-Employed,847200,4.0,2,Personal,502000,60,0,0.0,0.0,14.79,59.25,27.63,0,2,18,0,3.5,6,94.68,666,D,Reject
3000055,37,Female,Delhi,Professional,300000,7.2,2,Vehicle,533000,12,0,0.0,0.0,95.0,177.67,59.73,1,2,31,2,20.3,4,89.87,633,E,Reject
3000056,53,Female,Indore,Salaried,548000,5.0,1,Medical,340000,84,1,23100.0,920.0,16.02,62.04,48.43,0,0,0,2,35.0,3,96.49,780,B,Approve
3000057,41,Male,Gurugram,Salaried,634800,2.9,1,Education,1504000,48,1,845100.0,23050.0,95.0,236.93,34.48,0,0,0,5,16.2,6,100.0,719,C,Reject
3000058,33,Female,Pune,Salaried,548600,11.0,2,Personal,1418000,48,1,35200.0,1040.0,84.26,258.48,29.79,0,0,0,3,11.9,5,98.56,706,C,Reject
3000059,36,Male,Hyderabad,Professional,590700,8.3,0,Personal,1123000,36,2,573800.0,14480.0,95.0,190.11,15.76,0,0,0,1,8.2,7,97.25,708,C,Reject
3000060,40,Male,Hyderabad,Salaried,278000,10.0,1,Personal,527000,12,1,223800.0,5830.0,95.0,189.57,52.73,0,0,0,5,18.2,4,100.0,699,D,Reject
3000061,32,Female,Pune,Self-Employed,2656900,9.0,2,Personal,2768000,60,1,78700.0,2850.0,29.0,104.18,7.55,0,1,11,2,4.8,3,98.47,735,C,Approve
3000062,32,Male,Mumbai,Professional,396800,4.1,2,Personal,177000,60,1,1354500.0,55020.0,95.0,44.61,19.13,1,2,16,1,9.0,6,86.86,636,E,Reject
3000063,36,Female,Noida,Contract,456800,5.3,1,Home,324000,12,0,0.0,0.0,75.89,70.93,50.51,0,1,8,1,13.9,3,97.31,686,D,Reject
3000064,49,Female,Noida,Contract,472700,8.5,1,Vehicle,1206000,36,0,0.0,0.0,95.0,255.13,3.96,0,0,0,3,19.6,3,100.0,763,B,Reject
3000065,43,Female,Chennai,Salaried,1203900,5.4,4,Medical,2334000,72,0,0.0,0.0,51.01,193.87,23.81,1,3,51,9,18.9,1,86.77,662,D,Reject
3000066,33,Male,Bengaluru,Professional,979800,2.9,0,Vehicle,750000,72,0,0.0,0.0,16.72,76.55,17.24,0,1,11,1,8.6,2,97.05,701,C,Approve
3000067,43,Male,Nagpur,Salaried,838700,5.9,2,Home,612000,60,1,370400.0,9840.0,35.5,72.97,30.7,0,0,0,3,19.3,3,100.0,751,B,Approve
3000068,36,Male,Nashik,Salaried,447100,11.1,1,Personal,642000,60,0,0.0,0.0,36.2,143.59,37.1,0,0,0,1,13.0,3,100.0,704,C,Reject
3000069,39,Male,Ahmedabad,Professional,878600,6.6,3,Vehicle,1129000,60,1,371800.0,9700.0,49.27,128.5,16.87,0,0,0,2,22.0,3,100.0,752,B,Approve
3000070,38,Male,Thane,Business Owner,774100,0.8,0,Medical,1234000,36,2,143400.0,5140.0,69.74,159.41,26.06,0,0,0,3,12.1,5,99.54,712,C,Reject
3000071,21,Male,Gurugram,Professional,1230500,3.9,4,Business,2198000,24,2,284400.0,11640.0,95.0,178.63,25.78,0,0,0,3,0.5,6,100.0,636,E,Reject
3000072,21,Male,Aurangabad,Salaried,1135000,10.0,1,Medical,2728000,48,1,123000.0,4450.0,86.88,240.35,58.89,0,1,15,1,0.5,2,95.98,610,E,Reject
3000073,38,Female,Hyderabad,Self-Employed,896700,5.3,2,Personal,1351000,36,0,0.0,0.0,62.26,150.66,33.09,0,0,0,1,12.2,1,97.99,693,D,Approve
3000074,29,Male,Noida,Business Owner,613400,0.8,2,Personal,1292000,48,0,0.0,0.0,67.99,210.63,47.3,0,0,0,3,3.7,3,97.3,624,E,Reject
3000075,22,Male,Gurugram,Contract,445000,6.6,3,Home,788000,60,0,0.0,0.0,52.43,177.08,20.45,0,1,17,3,0.5,2,98.11,674,D,Approve
3000076,29,Male,Noida,Business Owner,412500,4.5,2,Consumer Durable,692000,60,0,0.0,0.0,44.4,167.76,21.9,0,1,10,2,4.0,3,99.24,707,C,Reject
3000077,44,Male,Noida,Salaried,370100,9.2,1,Education,494000,60,0,0.0,0.0,38.96,133.48,15.9,0,2,16,5,15.5,4,99.47,715,C,Approve
3000078,39,Female,Chennai,Salaried,729800,5.5,2,Home Renovation,1715000,72,3,1065900.0,24410.0,95.0,235.0,23.76,0,3,17,3,16.7,5,88.83,685,D,Reject
3000079,43,Male,Indore,Salaried,1717600,11.6,3,Consumer Durable,4651000,60,2,422700.0,12110.0,81.64,270.78,14.73,0,3,33,2,19.3,5,95.48,735,C,Reject
3000080,40,Female,Ahmedabad,Contract,1923200,4.1,1,Personal,2956000,12,0,0.0,0.0,95.0,153.7,10.44,0,0,0,1,27.3,4,100.0,799,B,Approve
3000081,28,Female,Pune,Salaried,827800,9.2,2,Vehicle,1962000,36,1,992500.0,29460.0,95.0,237.01,54.36,0,1,9,7,1.2,6,96.45,605,E,Reject
3000082,43,Male,Pune,Salaried,1030000,5.9,1,Personal,901000,48,1,412100.0,7990.0,39.84,87.48,27.24,0,0,0,2,21.6,3,100.0,753,B,Approve
3000083,41,Female,Ahmedabad,Salaried,379400,4.4,3,Personal,935000,60,2,684500.0,21320.0,95.0,246.44,28.83,0,0,0,4,15.0,4,97.95,694,D,Reject
3000084,35,Male,Noida,Self-Employed,477700,5.1,2,Business,838000,60,0,0.0,0.0,51.39,175.42,22.0,0,0,0,4,11.9,1,97.05,682,D,Approve
3000085,37,Male,Nashik,Salaried,291900,2.6,1,Education,354000,60,2,210000.0,7110.0,64.72,121.27,25.69,1,0,0,2,10.8,7,92.39,663,D,Reject
3000086,43,Male,Noida,Salaried,634100,9.0,2,Business,304000,60,0,0.0,0.0,13.8,47.94,31.28,0,2,17,3,14.3,3,100.0,721,C,Approve
3000087,30,Female,Nagpur,Business Owner,666500,3.8,1,Education,269000,36,2,1755800.0,61530.0,95.0,40.36,34.43,0,0,0,2,0.7,6,100.0,613,E,Reject
3000088,45,Male,Hyderabad,Self-Employed,474500,10.3,3,Business,877000,72,3,1405900.0,42630.0,95.0,184.83,21.93,0,2,17,0,20.8,8,94.46,708,C,Reject
3000089,41,Male,Mumbai,Self-Employed,490800,7.9,0,Business,1280000,24,0,0.0,0.0,95.0,260.8,17.04,0,1,10,1,16.8,3,98.76,716,C,Approve
3000090,36,Male,Jaipur,Self-Employed,862700,5.2,2,Personal,1149000,24,0,0.0,0.0,76.99,133.19,35.97,0,0,0,0,20.7,4,99.29,763,B,Reject
3000091,49,Male,Pune,Contract,1470900,6.5,0,Business,3167000,72,0,0.0,0.0,53.27,215.31,61.67,0,1,18,3,25.1,3,100.0,711,C,Reject
3000092,25,Female,Mumbai,Salaried,1549600,7.6,1,Home,2907000,36,1,297600.0,10060.0,82.67,187.6,7.52,0,0,0,2,7.9,6,100.0,738,C,Approve
3000093,32,Male,Bhopal,Salaried,940500,8.1,0,Vehicle,963000,48,0,0.0,0.0,32.37,102.39,35.73,1,2,32,2,7.7,4,81.57,634,E,Approve
3000094,30,Male,Ahmedabad,Contract,909600,11.6,0,Vehicle,2441000,12,0,0.0,0.0,95.0,268.36,38.36,0,0,0,3,1.5,4,99.9,623,E,Reject
3000095,39,Male,Aurangabad,Salaried,1126500,10.9,1,Education,1188000,24,1,79400.0,2750.0,64.53,105.46,58.79,0,0,0,2,12.6,3,100.0,681,D,Reject
3000096,46,Female,Thane,Business Owner,876900,0.5,2,Business,909000,84,2,986000.0,36670.0,74.13,103.66,31.13,1,3,31,1,21.4,5,92.6,707,C,Reject
3000097,28,Male,Mumbai,Business Owner,533900,9.7,4,Personal,487000,24,2,148300.0,5960.0,64.31,91.22,30.02,0,0,0,1,4.5,3,100.0,669,D,Reject
3000098,64,Male,Pune,Salaried,545800,7.1,2,Education,731000,36,1,212200.0,6310.0,68.24,133.93,7.74,1,1,18,4,35.0,3,89.78,765,B,Reject
3000099,30,Male,Pune,Salaried,446600,2.7,1,Education,346000,72,0,0.0,0.0,17.69,77.47,21.71,0,2,20,1,5.8,1,96.69,678,D,Approve
3000100,39,Female,Pune,Professional,345200,3.4,2,Business,169000,24,2,380700.0,9900.0,61.44,48.96,62.57,0,2,15,2,15.8,7,94.28,652,D,Reject
3000101,36,Female,Ahmedabad,Salaried,811800,8.7,1,Education,739000,60,0,0.0,0.0,25.69,91.03,35.8,0,1,8,4,15.2,4,95.19,686,D,Approve
3000102,36,Female,Nagpur,Salaried,731100,6.8,1,Consumer Durable,946000,60,1,49500.0,1820.0,37.24,129.39,12.89,0,3,30,3,5.6,5,94.55,706,C,Approve
3000103,29,Male,Hyderabad,Professional,379600,5.5,2,Education,671000,36,1,342000.0,11390.0,95.0,176.77,21.38,0,0,0,0,4.3,5,100.0,681,D,Reject
3000104,45,Female,Delhi,Business Owner,1050600,10.6,0,Personal,2428000,48,0,0.0,0.0,73.7,231.11,34.84,0,0,0,3,21.7,3,99.26,707,C,Reject
3000105,29,Female,Noida,Salaried,396600,5.4,4,Personal,887000,84,0,0.0,0.0,47.96,223.65,45.87,1,1,16,4,9.9,5,87.29,622,E,Reject
3000106,21,Female,Delhi,Salaried,323900,9.8,0,Vehicle,879000,72,2,305800.0,8900.0,95.0,271.38,35.53,0,0,0,2,0.5,7,99.81,638,E,Reject
3000107,26,Male,Hyderabad,Self-Employed,334200,0.5,2,Personal,927000,24,1,69200.0,2030.0,95.0,277.38,31.74,1,5,45,5,0.5,2,77.24,576,E,Reject
3000108,48,Male,Mumbai,Salaried,920000,11.9,2,Personal,2417000,24,1,50100.0,1770.0,95.0,262.72,11.88,0,0,0,4,25.0,3,100.0,754,B,Approve
3000109,47,Male,Hyderabad,Business Owner,654600,9.6,2,Consumer Durable,345000,12,4,799800.0,26280.0,95.0,52.7,44.93,0,0,0,2,27.7,7,97.93,723,C,Approve
3000110,21,Female,Aurangabad,Self-Employed,184800,4.5,0,Home,79000,36,3,613100.0,14930.0,95.0,42.75,24.76,0,2,13,2,0.5,8,95.54,625,E,Reject
3000111,43,Male,Aurangabad,Self-Employed,535000,4.4,0,Home,1186000,60,0,0.0,0.0,61.33,221.68,35.99,0,2,13,3,18.9,3,100.0,725,C,Reject
3000112,21,Male,Mumbai,Contract,341200,4.8,4,Home,923000,36,4,1424200.0,29280.0,95.0,270.52,32.07,0,0,0,1,0.5,5,100.0,654,D,Reject
3000113,36,Male,Nagpur,Self-Employed,180000,9.6,5,Personal,457000,48,0,0.0,0.0,88.19,253.89,23.29,0,1,7,4,11.8,2,100.0,695,D,Reject
3000114,26,Female,Jaipur,Self-Employed,707600,7.3,0,Home,565000,60,0,0.0,0.0,21.7,79.85,27.91,0,2,32,3,0.8,3,89.34,651,D,Reject
3000115,44,Male,Chennai,Salaried,558600,3.0,2,Vehicle,1166000,24,1,272900.0,9340.0,95.0,208.74,29.91,0,1,18,2,25.7,3,98.01,740,C,Reject
3000116,41,Female,Jaipur,Salaried,1135500,5.5,2,Personal,1062000,60,1,264200.0,7890.0,36.33,93.53,27.16,1,3,21,0,24.6,5,80.07,738,C,Approve
3000117,44,Female,Ahmedabad,Salaried,579000,8.4,6,Home,410000,60,0,0.0,0.0,18.63,70.81,1.0,0,1,12,4,23.7,3,96.68,781,B,Approve
3000118,33,Female,Nagpur,Self-Employed,876400,8.7,3,Business,1130000,60,2,259400.0,8690.0,45.39,128.94,7.85,1,2,28,2,10.3,5,91.07,691,D,Reject
3000119,34,Male,Bhopal,Salaried,1795400,10.3,1,Home Renovation,829000,48,1,450200.0,9060.0,22.21,46.17,14.98,0,0,0,0,4.5,5,97.97,726,C,Approve
3000120,23,Female,Indore,Salaried,641300,4.5,3,Home,862000,48,4,853500.0,30150.0,95.0,134.41,19.15,0,1,15,6,1.8,8,96.05,658,D,Approve
3000121,27,Female,Noida,Self-Employed,894900,4.5,0,Consumer Durable,599000,84,1,354000.0,8420.0,27.35,66.93,41.46,0,0,0,0,0.5,2,100.0,660,D,Reject
3000122,44,Female,Mumbai,Salaried,1011500,9.9,1,Home Renovation,712000,36,1,339200.0,6280.0,35.04,70.39,45.52,0,0,0,3,16.8,2,96.83,710,C,Reject
3000123,39,Male,Ahmedabad,Salaried,622800,5.0,0,Vehicle,1705000,12,0,0.0,0.0,95.0,273.76,6.44,0,0,0,6,11.0,4,100.0,710,C,Reject
3000124,37,Male,Chennai,Salaried,1044200,8.9,0,Personal,2795000,36,0,0.0,0.0,95.0,267.67,38.65,0,0,0,2,20.9,2,98.84,735,C,Reject
3000125,47,Male,Indore,Business Owner,1481100,5.1,2,Vehicle,1688000,48,2,287300.0,9270.0,43.27,113.97,29.04,0,0,0,2,18.5,5,99.38,709,C,Approve
3000126,25,Male,Gurugram,Salaried,578200,3.0,0,Consumer Durable,1408000,48,0,0.0,0.0,77.89,243.51,40.75,0,1,11,3,7.5,4,99.86,658,D,Reject
3000127,42,Male,Pune,Salaried,426800,4.4,1,Home Renovation,709000,36,0,0.0,0.0,65.07,166.12,9.69,0,0,0,2,11.9,6,100.0,738,C,Approve
3000128,26,Male,Bengaluru,Salaried,833500,5.0,2,Medical,1717000,60,1,298600.0,11620.0,79.35,206.0,30.47,0,1,8,5,5.6,3,90.97,702,C,Reject
3000129,49,Male,Mumbai,Self-Employed,1023300,1.5,2,Education,1814000,36,3,379900.0,14020.0,86.4,177.27,17.29,0,0,0,1,24.5,6,97.98,778,B,Approve
3000130,41,Female,Mumbai,Salaried,498300,7.4,3,Personal,1340000,12,1,40500.0,970.0,95.0,268.91,50.03,0,3,49,4,17.3,7,97.26,663,D,Reject
3000131,44,Male,Pune,Salaried,373600,7.9,2,Home,158000,36,0,0.0,0.0,18.23,42.29,34.07,0,1,16,2,21.2,4,98.14,744,C,Approve
3000132,30,Female,Ahmedabad,Salaried,491800,3.7,4,Business,525000,48,1,710400.0,20880.0,86.18,106.75,17.67,1,3,36,3,10.1,4,83.79,635,E,Reject
3000133,55,Female,Nagpur,Salaried,821000,11.1,3,Personal,1539000,24,0,0.0,0.0,95.0,187.45,21.52,0,0,0,2,27.7,2,98.23,755,B,Reject
3000134,53,Male,Ahmedabad,Salaried,495200,7.8,2,Business,1237000,48,1,469900.0,14650.0,95.0,249.8,29.95,0,0,0,4,25.9,5,99.65,748,C,Approve
3000135,40,Female,Gurugram,Professional,353300,7.3,0,Education,981000,48,1,314000.0,11430.0,95.0,277.67,48.5,0,2,16,4,11.5,5,96.25,627,E,Reject
3000136,46,Male,Thane,Salaried,648000,7.9,2,Medical,1533000,36,0,0.0,0.0,94.75,236.57,24.61,0,0,0,2,23.5,2,100.0,759,B,Approve
3000137,33,Female,Noida,Salaried,862000,4.5,1,Education,698000,24,1,126900.0,4790.0,52.27,80.97,39.72,1,3,25,1,8.3,2,81.48,634,E,Reject
3000138,25,Male,Pune,Salaried,1023500,3.0,2,Personal,727000,24,0,0.0,0.0,41.67,71.03,40.43,0,1,18,1,4.5,1,96.02,652,D,Approve
3000139,43,Female,Nagpur,Salaried,1585500,0.5,1,Personal,1307000,36,1,34400.0,1420.0,36.04,82.43,48.07,0,0,0,3,11.5,3,98.9,701,C,Approve
3000140,28,Male,Indore,Salaried,821100,11.3,1,Personal,1316000,48,0,0.0,0.0,53.51,160.27,38.98,0,2,24,5,0.5,3,94.89,623,E,Reject
3000141,47,Male,Pune,Business Owner,1205800,2.9,2,Medical,2301000,12,4,1013800.0,28580.0,95.0,190.83,31.86,1,1,11,5,29.9,6,88.94,737,C,Reject
3000142,45,Male,Mumbai,Salaried,591700,5.6,3,Home Renovation,1470000,24,1,108200.0,3720.0,95.0,248.44,25.78,0,2,11,1,20.8,4,92.57,713,C,Reject
3000143,38,Female,Noida,Salaried,497300,7.2,2,Medical,537000,36,1,253600.0,6340.0,59.35,107.98,35.41,0,0,0,3,8.5,4,99.25,666,D,Approve
3000144,38,Female,Aurangabad,Professional,772500,6.7,1,Personal,1593000,36,0,0.0,0.0,82.9,206.21,30.11,0,0,0,4,18.9,2,100.0,739,C,Reject
3000145,44,Male,Aurangabad,Self-Employed,549300,8.7,1,Personal,1002000,60,0,0.0,0.0,51.0,182.41,33.02,0,1,17,2,22.6,1,93.7,723,C,Approve
3000146,38,Male,Bengaluru,Business Owner,1518400,7.5,1,Personal,924000,84,1,994900.0,33120.0,38.33,60.85,28.63,0,0,0,3,12.2,3,96.4,715,C,Approve
3000147,33,Male,Bhopal,Salaried,344100,5.7,1,Education,844000,24,0,0.0,0.0,95.0,245.28,4.56,0,1,10,3,5.8,2,92.4,693,D,Reject
3000148,23,Male,Hyderabad,Self-Employed,1787300,4.2,3,Education,4242000,36,2,529300.0,14280.0,95.0,237.34,9.21,1,2,33,3,0.5,4,81.81,632,E,Reject
3000149,44,Male,Bengaluru,Professional,411600,9.4,1,Personal,1086000,12,1,205900.0,8390.0,95.0,263.85,5.33,0,0,0,4,19.6,3,94.94,756,B,Approve
3000150,39,Male,Chennai,Self-Employed,947900,3.1,5,Home,467000,36,1,254100.0,5850.0,28.21,49.27,24.94,0,0,0,0,7.9,3,97.47,697,D,Approve
3000151,59,Female,Chennai,Salaried,997000,11.6,2,Education,1259000,60,2,127800.0,4420.0,37.29,126.28,30.15,0,1,15,4,29.3,3,95.5,757,B,Approve
3000152,35,Female,Nagpur,Business Owner,750900,6.7,1,Education,819000,60,0,0.0,0.0,30.09,109.07,34.93,0,1,13,0,16.4,4,95.59,733,C,Approve
3000153,39,Male,Mumbai,Salaried,1020600,3.0,2,Personal,2573000,72,1,37000.0,1340.0,66.15,252.11,18.03,0,0,0,3,14.4,3,96.77,768,B,Approve
