Age,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Employment_Type_Business Owner,Employment_Type_Contract,Employment_Type_Professional,Employment_Type_Salaried,Employment_Type_Self-Employed,Loan_Purpose_Business,Loan_Purpose_Consumer Durable,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Home Renovation,Loan_Purpose_Medical,Loan_Purpose_Personal,Loan_Purpose_Vehicle
41,316200,1.0,3,141000,36,0,0.0,0.0,18.5,44.59,40.05,1,1,17,1,14.8,3,94.14,675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,665600,6.8,1,1713000,36,1,96800.0,1990.0,95.0,257.36,8.61,1,4,49,0,11.5,4,85.89,676,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,609500,1.2,0,1569000,60,1,127200.0,4510.0,75.83,257.42,19.81,0,0,0,4,12.5,2,100.0,689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,432500,4.6,2,790000,60,0,0.0,0.0,53.47,182.66,65.58,0,0,0,2,2.6,3,98.28,629,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1115200,6.6,1,902000,60,1,107400.0,4140.0,24.98,80.88,32.25,0,0,0,2,10.7,5,95.91,676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,563500,7.7,4,918000,36,1,123600.0,2620.0,68.91,162.91,45.13,0,0,0,1,13.5,7,98.37,691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,466200,5.6,0,382000,36,2,238200.0,5550.0,47.65,81.94,22.43,0,1,18,1,23.0,4,95.29,767,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,446600,4.3,2,225000,60,0,0.0,0.0,13.42,50.38,11.24,0,1,9,1,23.5,5,98.3,741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,733300,8.3,3,1288000,36,1,502800.0,12410.0,88.85,175.64,36.78,1,7,105,4,0.5,3,74.23,564,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,443400,7.3,2,297000,84,2,217500.0,7200.0,33.49,66.98,22.46,0,0,0,4,14.6,5,99.72,716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,544500,8.2,0,1176000,36,0,0.0,0.0,93.02,215.98,54.29,0,0,0,2,16.4,1,96.97,689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,1762200,8.8,3,2845000,60,1,133900.0,2650.0,44.4,161.45,43.83,0,1,13,2,7.3,2,97.35,682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,403200,9.6,4,541000,48,1,352700.0,9360.0,70.5,134.18,12.64,0,0,0,8,22.3,4,98.56,726,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,889600,7.7,2,648000,72,2,1133400.0,28670.0,55.6,72.84,29.76,0,0,0,1,18.0,6,95.4,697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,720800,1.3,1,909000,60,1,291200.0,7540.0,47.92,126.11,40.79,0,1,12,2,0.5,4,99.61,628,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1411200,7.7,2,3585000,72,1,452800.0,11260.0,76.09,254.04,35.75,0,0,0,7,18.3,4,99.5,692,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,944500,9.0,2,1215000,48,0,0.0,0.0,40.22,128.64,25.92,0,0,0,4,17.4,3,100.0,754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,717400,6.7,1,1609000,48,3,461500.0,15300.0,92.68,224.28,32.31,0,0,0,2,24.1,6,100.0,730,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,482000,1.8,0,919000,48,0,0.0,0.0,64.74,190.66,25.2,0,1,11,2,10.8,5,95.08,680,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,437700,2.1,1,663000,60,0,0.0,0.0,43.99,151.47,28.95,0,1,11,4,25.3,1,97.0,752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,302900,12.0,1,707000,84,0,0.0,0.0,46.24,233.41,36.18,0,2,11,4,17.2,1,97.96,714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,715600,8.6,0,290000,48,0,0.0,0.0,13.96,40.53,20.06,0,1,5,1,26.2,3,95.1,797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,813000,1.2,2,1149000,48,1,480700.0,17070.0,69.39,141.33,43.54,0,2,30,2,0.5,5,93.74,627,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,1234800,3.6,3,1017000,36,1,129300.0,2980.0,35.71,82.36,38.64,0,0,0,3,26.4,5,100.0,758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,411800,1.6,0,237000,72,4,1218300.0,27540.0,95.0,57.55,10.77,0,0,0,1,10.3,5,98.76,725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,1084100,8.3,0,908000,24,0,0.0,0.0,48.51,83.76,13.95,0,1,14,2,17.9,2,100.0,745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,1522800,5.9,0,3949000,48,1,518500.0,21570.0,94.76,259.32,21.19,0,1,6,3,12.0,4,100.0,733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,762200,8.7,1,824000,48,2,681100.0,24420.0,74.3,108.11,31.33,0,0,0,4,17.4,4,97.68,719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,827100,6.2,4,1252000,84,0,0.0,0.0,32.21,151.37,14.65,0,1,13,1,6.3,4,100.0,714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,451500,5.6,2,494000,84,0,0.0,0.0,22.4,109.41,30.65,0,0,0,1,17.6,2,98.78,742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,984000,5.4,0,1891000,84,0,0.0,0.0,42.47,192.17,24.91,0,0,0,0,32.5,3,96.57,811,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,747300,7.4,3,543000,24,1,209100.0,4560.0,47.38,72.66,40.83,0,0,0,5,14.9,2,96.98,661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,627300,2.8,1,949000,84,0,0.0,0.0,36.21,151.28,23.97,0,2,27,0,17.9,2,91.06,722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,1111100,5.3,2,2275000,60,2,392800.0,10700.0,67.0,204.75,21.44,0,0,0,3,28.7,5,100.0,763,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,347400,6.8,3,345000,72,0,0.0,0.0,23.39,99.31,12.1,0,1,13,2,12.4,5,97.03,726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,788800,9.4,1,443000,60,0,0.0,0.0,16.2,56.16,47.7,0,2,14,4,24.7,3,98.92,706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,418300,13.3,3,426000,48,1,53000.0,1950.0,36.9,101.84,19.56,0,0,0,1,1.6,3,94.77,678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,180000,7.3,3,131000,84,0,0.0,0.0,15.42,72.78,8.83,0,0,0,1,18.8,3,98.8,738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,889700,1.7,3,608000,24,2,356700.0,11680.0,53.26,68.34,25.13,0,1,16,1,3.4,6,97.3,676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,620300,3.1,0,710000,72,3,386500.0,11390.0,48.58,114.46,54.62,0,2,34,0,21.5,5,95.5,714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,736000,6.9,0,339000,84,0,0.0,0.0,9.53,46.06,26.42,0,1,5,1,15.1,5,95.85,740,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,587200,10.4,2,554000,60,0,0.0,0.0,24.3,94.35,30.35,0,2,34,0,7.7,4,93.91,670,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,484000,10.1,1,450000,12,0,0.0,0.0,95.0,92.98,44.71,0,3,50,3,7.2,1,87.58,628,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,1198100,3.7,1,1310000,36,0,0.0,0.0,43.62,109.34,14.63,1,2,16,2,17.7,2,92.19,696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,1434200,6.3,0,2996000,48,1,55400.0,1320.0,68.26,208.9,31.6,0,0,0,2,26.8,4,100.0,757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,267200,8.9,3,196000,60,0,0.0,0.0,18.86,73.35,45.73,0,1,14,1,29.0,4,96.05,745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,1301400,5.9,0,2063000,36,1,154500.0,5860.0,70.99,158.52,46.12,0,0,0,3,16.7,3,100.0,721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,1005600,1.5,2,1708000,60,2,128700.0,4430.0,52.81,169.85,11.22,0,2,21,2,26.8,4,97.87,775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,313700,4.7,0,777000,36,0,0.0,0.0,95.0,247.69,49.81,0,2,14,1,8.9,3,93.78,618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,1297200,11.6,2,3037000,84,1,284700.0,11480.0,65.82,234.12,27.99,1,0,0,1,10.7,5,93.1,675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,550900,4.1,4,1307000,36,1,80600.0,2940.0,95.0,237.25,61.46,0,0,0,5,19.9,3,97.83,669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,741300,2.9,2,1045000,48,0,0.0,0.0,49.52,140.97,4.74,0,1,8,2,9.3,5,95.02,750,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,549100,2.8,0,165000,24,0,0.0,0.0,17.54,30.05,57.1,1,2,15,1,7.8,3,88.05,613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,571200,7.7,1,1200000,48,2,749200.0,20530.0,95.0,210.08,28.67,1,1,8,2,17.8,3,84.89,669,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2031600,4.2,0,3626000,48,2,68300.0,2590.0,54.83,178.48,51.31,0,0,0,3,18.4,3,100.0,687,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,958700,3.0,1,637000,72,4,1355300.0,38150.0,65.22,66.44,32.27,0,1,10,1,4.8,5,98.11,713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,594000,3.2,3,1524000,60,4,695100.0,19490.0,95.0,256.57,41.8,1,0,0,3,19.5,7,90.14,667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,185900,7.6,0,223000,84,0,0.0,0.0,23.87,119.96,21.52,1,1,15,5,12.7,3,88.26,686,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,474800,0.5,1,903000,60,0,0.0,0.0,56.26,190.19,30.43,0,0,0,0,11.0,3,100.0,695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,734700,8.3,2,1590000,60,0,0.0,0.0,63.48,216.41,17.1,1,1,12,1,15.9,4,86.88,693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,600500,6.7,3,1520000,60,1,46200.0,1870.0,77.19,253.12,31.92,1,1,5,5,0.5,5,95.01,598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,313400,3.1,1,518000,84,0,0.0,0.0,32.45,165.28,30.03,0,1,15,1,18.0,6,97.54,708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,533000,13.0,0,1332000,60,1,1013400.0,37260.0,95.0,249.91,26.16,0,0,0,2,19.5,4,96.07,747,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,574700,7.3,2,721000,24,0,0.0,0.0,74.22,125.46,22.98,0,1,12,3,20.9,3,94.93,733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,286200,4.1,1,108000,12,1,244400.0,7490.0,71.22,37.74,24.86,0,1,11,2,15.8,4,99.43,731,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,324100,8.0,4,721000,36,0,0.0,0.0,85.06,222.46,21.56,0,2,27,2,34.4,3,94.47,776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,541800,3.3,2,261000,24,2,865900.0,22300.0,75.84,48.17,24.04,0,0,0,6,0.5,4,96.59,630,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,1605800,4.9,1,4104000,48,1,55100.0,1730.0,81.92,255.57,27.8,0,1,12,1,14.1,3,97.61,739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,948100,11.5,0,1740000,24,0,0.0,0.0,95.0,183.52,23.59,0,0,0,3,0.5,3,100.0,669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,478900,2.8,1,933000,24,0,0.0,0.0,95.0,194.82,7.92,0,0,0,1,20.4,3,93.37,740,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,442000,3.4,0,1101000,72,1,197900.0,4460.0,78.92,249.1,28.26,0,0,0,3,24.8,4,100.0,738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,739200,0.7,1,967000,60,0,0.0,0.0,37.58,130.82,13.57,0,0,0,2,14.7,2,100.0,738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,679700,7.0,1,1682000,36,0,0.0,0.0,95.0,247.46,22.21,0,2,12,1,28.0,4,91.71,757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,914400,5.8,2,2330000,24,1,143000.0,3380.0,95.0,254.81,31.51,0,2,27,4,29.0,6,95.69,779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,812500,0.5,2,601000,36,1,410000.0,13450.0,49.08,73.97,48.81,0,1,8,2,0.5,4,97.19,608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,667600,7.4,0,1845000,72,1,46200.0,1020.0,68.74,276.36,18.8,0,1,13,2,21.3,4,97.95,757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,757000,10.4,0,1383000,24,0,0.0,0.0,95.0,182.69,41.84,0,0,0,0,5.7,4,100.0,662,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,630400,5.9,0,900000,12,1,334200.0,13610.0,95.0,142.77,13.52,0,1,10,3,13.8,4,100.0,700,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,453800,2.9,0,498000,12,2,1189800.0,36950.0,95.0,109.74,18.87,1,4,67,2,3.2,4,83.8,630,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,705600,8.2,1,1648000,36,1,129400.0,5320.0,95.0,233.56,15.85,0,0,0,3,1.4,5,98.49,721,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,394000,11.1,0,460000,24,3,582000.0,15410.0,95.0,116.75,54.75,0,1,12,2,10.7,5,93.06,650,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,239300,4.2,4,358000,24,1,95000.0,3010.0,95.0,149.6,53.47,0,0,0,2,8.0,6,99.29,625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,813700,4.1,1,1622000,24,0,0.0,0.0,95.0,199.34,18.48,1,0,0,1,18.8,2,91.18,702,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1176500,7.6,3,1726000,84,3,300000.0,7730.0,41.74,146.71,35.14,1,4,33,1,17.3,6,86.7,666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,517200,0.5,1,284000,36,0,0.0,0.0,22.27,54.91,19.96,0,0,0,3,16.1,2,100.0,720,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,219900,2.6,2,429000,60,3,468500.0,13190.0,95.0,195.09,43.04,0,1,15,1,4.6,5,98.29,638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,1267700,4.6,0,903000,48,4,498000.0,16050.0,38.95,71.23,21.25,0,0,0,4,25.8,6,97.51,776,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,396300,4.1,0,424000,48,0,0.0,0.0,35.69,106.99,36.5,0,0,0,1,2.7,2,100.0,645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,846600,6.6,2,1341000,36,1,144300.0,2920.0,66.22,158.4,31.47,0,0,0,1,28.4,6,100.0,791,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,335300,3.6,1,582000,12,2,616200.0,13140.0,95.0,173.58,45.47,1,2,12,0,5.6,5,86.36,611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,495600,10.2,3,1055000,72,4,2178000.0,64260.0,95.0,212.87,61.73,1,0,0,2,18.4,5,90.43,654,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1069100,7.5,0,492000,72,2,456600.0,14780.0,28.39,46.02,20.27,1,2,29,0,21.0,4,83.16,728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,1470600,5.0,1,1695000,84,2,444900.0,8790.0,31.09,115.26,6.8,0,1,11,7,1.9,5,95.76,690,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,420900,8.3,0,912000,72,0,0.0,0.0,52.6,216.68,17.11,0,0,0,2,5.8,4,100.0,731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,398300,5.3,0,964000,36,2,567700.0,12440.0,95.0,242.03,61.44,0,0,0,7,8.6,5,100.0,596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,462100,4.8,0,1109000,84,0,0.0,0.0,47.52,239.99,16.45,1,2,36,4,22.7,4,86.03,698,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
